GL_Account,GL_Account_Name,CompanyCode,CompanyCodeName,Profit_Center,Profit_Center_Desc,Cost_Center,Cost_Center_Desc,Functional_Area,Func_Area_Desc,Period/Year,Amount,Average,Minimum,Maximum,StdDev,ConfLow,ConfHigh,ID,Item,Reversal,Segment,Cost_Type 
420200,Non-Saleable Returns,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2022008,28749.74,null,null,null,null,null,null,418,Non-saleable Returns(Sale Val),0,MW,
420200,Non-Saleable Returns,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2022008,57678.12,28749.74,28749.74,28749.74,null,null,null,418,Non-saleable Returns(Sale Val),0,MW,
420200,Non-Saleable Returns,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2022008,-152031.38,43213.93,28749.74,57678.12,20455.453666741298,35351.106749385784,51076.753250614216,418,Non-saleable Returns(Sale Val),0,MW,
420200,Non-Saleable Returns,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2022008,14703.85,-21867.84,-152031.38,57678.12,113649.12296782057,-65553.15644625467,21817.476446254663,418,Non-saleable Returns(Sale Val),0,MW,
420200,Non-Saleable Returns,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2022008,370807.99,-12724.92,-152031.38,57678.12,94578.64925517753,-49079.77985069,23629.944850689997,418,Non-saleable Returns(Sale Val),0,MW,
420200,Non-Saleable Returns,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2022008,1313803.48,63981.66,-152031.38,370807.99,190074.5614180949,-9080.645211868243,137043.97321186823,418,Non-saleable Returns(Sale Val),0,MW,
420200,Non-Saleable Returns,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2022008,21941.62,272285.30,-152031.38,1313803.48,537815.1166930397,65555.82467472841,479014.77532527153,418,Non-saleable Returns(Sale Val),0,MW,
420200,Non-Saleable Returns,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2022008,389240.34,236521.92,-152031.38,1313803.48,499990.71990720916,44331.67186040609,428712.16242559394,418,Non-saleable Returns(Sale Val),0,MW,
420200,Non-Saleable Returns,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2022008,34888.17,255611.72,-152031.38,1313803.48,466039.83153726126,76471.77606018542,434751.66393981455,418,Non-saleable Returns(Sale Val),0,MW,
420200,Non-Saleable Returns,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2022008,359353.77,231086.88,-152031.38,1313803.48,442105.40995287837,61147.03263666373,401026.7295853363,418,Non-saleable Returns(Sale Val),0,MW,
420200,Non-Saleable Returns,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2022008,22877.06,243913.57,-152031.38,1313803.48,418789.8841216376,82935.9211225491,404891.2188774509,418,Non-saleable Returns(Sale Val),0,MW,
